1,"Make It With You",Ben&Ben,279776,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh
2,Imahe,"Magnus Haven",270367,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
3,Catriona,Matthaios,254467,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2
4,Yummy,"Justin Bieber",238235,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
5,Pagtingin,Ben&Ben,232770,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
6,Memories,"Maroon 5",212617,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,"10,000 Hours (with Justin Bieber)","Dan + Shay",194225,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
8,"Vibe With Me",Matthaios,194070,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui
9,ROXANNE,"Arizona Zervas",187119,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"Don't Start Now","Dua Lipa",180109,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"Hindi Tayo Pwede","The Juans",176147,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP
12,"Masyado Pang Maaga",Ben&Ben,168240,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t
13,"Someone You Loved","Lewis Capaldi",167525,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"I Want You Back",Matthaios,165684,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI
15,"Mean It",Lauv,155609,https://open.spotify.com/track/2uiOyiRxtNix52dpeaDQPM
16,"Binalewala - Original Version","Michael Dutchi Libranda",150172,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6
17,"Kathang Isip",Ben&Ben,146425,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
18,Ivana,Soulstice,146337,https://open.spotify.com/track/5bSvsXRBUjGe8pGScU0hPz
19,Intentions,"Justin Bieber",137044,https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN
20,Circles,"Post Malone",135740,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,Falling,"Trevor Daniel",134469,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
22,"Sa Susunod Na Lang",PDL,132731,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
23,Zebbiana,"Skusta Clee",124108,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL
24,"Dance Monkey","Tones and I",123554,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
